"SubAssociation","SubAssociation1","Score","Association1","Association","movetosubass"
"ASSOC Picegla-Rubupub-Hylospl","ASSOC Piceene-Spirbet-Lathoch-Pleusch",9.51063829787234,"ASSOC Piceene-Spirbet-Lathoch-Pleusch","ASSOC Picegla-Rubupub-Hylospl",1
"ASSOC Picegla-Rubupub-Hylospl","SUBASS Sx-Vaccmem-Vibuedu(Mertpan)",9.15183752417795,"ASSOC Piceene-Vaccmem-Vibuedu (SBSmk zonals)","ASSOC Picegla-Rubupub-Hylospl",1
"ASSOC Picegla-Saligla-Betunan","%ASSOC Picegla-Salix-Hylospl",2.0625,"%ASSOC Picegla-Salix-Hylospl","ASSOC Picegla-Saligla-Betunan",1
"ASSOC Picegla-Saligla-Betunan","ASSOC Picegla-Salix-Empenig",4.7,"ASSOC Picegla-Salix-Empenig","ASSOC Picegla-Saligla-Betunan",1
"ASSOC Picegla-Saligla-Betunan","%ASSOC Picegla-Betunan-Calacan",9.10714285714286,"%ASSOC Picegla-Betunan-Calacan","ASSOC Picegla-Saligla-Betunan",1
"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Pinucon-Shepcan-Geocliv",3.77777777777778,"ASSOC Picegla-Pinucon-Shepcan-Geocliv","ASSOC Picegla-Shepcan-Hylospl",1
"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Saligla-Betunan",6.48775773195876,"ASSOC Picegla-Saligla-Betunan","ASSOC Picegla-Shepcan-Hylospl",1
"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Shepcan-Leyminn",7,"ASSOC Picegla-Shepcan-Leyminn","ASSOC Picegla-Shepcan-Hylospl",1
"ASSOC Picegla-Shepcan-Hylospl","%ASSOC Picegla-Salix-Hylospl",8.63659793814433,"%ASSOC Picegla-Salix-Hylospl","ASSOC Picegla-Shepcan-Hylospl",1
"ASSOC Picegla-Shepcan-Leyminn","ASSOC Picegla-Pinucon-Shepcan-Geocliv",8.05555555555556,"ASSOC Picegla-Pinucon-Shepcan-Geocliv","ASSOC Picegla-Shepcan-Leyminn",1
"ASSOC Picegla-Vaccvit-Hylospl","ASSOC Picegla-Pinucon-Shepcan-Geocliv",7.96094609460946,"ASSOC Picegla-Pinucon-Shepcan-Geocliv","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Picegla-Vaccvit-Hylospl","ASSOC Picegla-Saligla-Betunan",9.3335396039604,"ASSOC Picegla-Saligla-Betunan","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Picegla-Vaccvit-Hylospl","%ASSOC Picegla-Salix-Hylospl",7.00990099009901,"%ASSOC Picegla-Salix-Hylospl","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Picegla-Vaccvit-Hylospl","ASSOC Picegla-Shepcan-Leyminn",9,"ASSOC Picegla-Shepcan-Leyminn","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Picegla-Vaccvit-Hylospl","ASSOC Picemar-Ledugro-Hylospl",6.62182007674452,"ASSOC Picemar-Ledugro-Hylospl","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Picegla-Vaccvit-Hylospl","ASSOC Picegla-Shepcan-Hylospl",0,"ASSOC Picegla-Shepcan-Hylospl","ASSOC Picegla-Vaccvit-Hylospl",1
"ASSOC Pinucon-Arctuva-Vaccvit","ASSOC Picegla-Saligla-Betunan",9.4404920212766,"ASSOC Picegla-Saligla-Betunan","ASSOC Pinucon-Arctuva-Vaccvit",1
"ASSOC Pinucon-Arctuva-Vaccvit","ASSOC Pinucon-Vaccvit-Cladina",7.55555555555556,"ASSOC Pinucon-Vaccvit-Cladina","ASSOC Pinucon-Arctuva-Vaccvit",1
"ASSOC Pinucon-Arctuva-Vaccvit","SUBASS Pl-Pleusch-Cladina(Pyrola)",7.89249720044793,"ASSOC Pinucon-Pleusch-Cladina","ASSOC Pinucon-Arctuva-Vaccvit",1
"ASSOC Pinucon-Arctuva-Vaccvit","%ASSOC Picegla-Betunan-Cladina",0.723404255319149,"%ASSOC Picegla-Betunan-Cladina","ASSOC Pinucon-Arctuva-Vaccvit",1
"ASSOC Pinucon-Arctuva-Vaccvit","ASSOC Picegla-Pinucon-Shepcan-Geocliv",4.94799054373522,"ASSOC Picegla-Pinucon-Shepcan-Geocliv","ASSOC Pinucon-Arctuva-Vaccvit",1
"ASSOC Pinucon-Festalt-Stercau","SUBASS Pl-Arctuva-Cladoni(typic)",1.8,"ASSOC Pinucon-Arctuva-Cladoni (SBPSxc zonal)","ASSOC Pinucon-Festalt-Stercau",1
"ASSOC Pinucon-Festalt-Stercau","SUBASS Pl-Arctuva-Cladoni(Pleusch)",2.54807692307692,"ASSOC Pinucon-Arctuva-Cladoni (SBPSxc zonal)","ASSOC Pinucon-Festalt-Stercau",1
"ASSOC Pinucon-Junicom-Arctuva","ASSOC Pinucon-Festalt-Stercau",9.39090909090909,"ASSOC Pinucon-Festalt-Stercau","ASSOC Pinucon-Junicom-Arctuva",1
"ASSOC Pinucon-Junicom-Arctuva","SUBASS Pl-Calarub-Arctuva(Junicom)",6.66666666666667,"ASSOC Pinucon-Calarub-Arctuva","ASSOC Pinucon-Junicom-Arctuva",1
"ASSOC Pinucon-Junicom-Calarub","SUBASS Pl-Calarub-Vaccsco(typic)",4.91470588235294,"ASSOC Pinucon-Calarub-Vaccsco","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","ASSOC Pinualb-Abielas-Junicom-Shepcan",6.25113122171946,"ASSOC Pinualb-Abielas-Junicom-Shepcan","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","ASSOC Pinucon-Shepcan-Calarub-Astecon",4.09243697478992,"ASSOC Pinucon-Shepcan-Calarub-Astecon","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","ASSOC PlBl-Vaccsco(Calarub)",2.17647058823529,"ASSOC PlBl-Vaccsco(Calarub)","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3",8.47183979974969,"ASSOC Bl-Vaccsco-Dicranu(Linnbor)xc3","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","ASSOC Pinucon-Junicom-Arctuva",4.01336898395722,"ASSOC Pinucon-Junicom-Arctuva","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","SUBASS PlBl-Vaccmem-Cladoni(typic)",7.29411764705882,"ASSOC Pinucon-Abielas-Vaccmem-Cladoni","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","SUBASS Pl-Calarub-Vaccsco-Pleusch(Abielas) (MSxk1)",7.60588235294118,"ASSOC Pinucon-Calarub-Vaccsco-Pleusch (MSxk)","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub","SUBASS Pl-Calarub-Vaccsco-Pleusch(Junicom)(MSxk3)",7.08,"ASSOC Pinucon-Calarub-Vaccsco-Pleusch (MSxk)","ASSOC Pinucon-Junicom-Calarub",1
"ASSOC Pinucon-Junicom-Calarub-Cladoni","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",0.444444444444444,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Junicom-Calarub-Cladoni","ASSOC Abielas Rhodalb-Vaccvit",9.5959595959596,"ASSOC Abielas Rhodalb-Vaccvit","ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Junicom-Calarub-Cladoni","SUBASS Sxw-Orthsec-Pleusch(Shepcan)",8.36363636363637,"ASSOC Piceene-Orthsec-Pleusch (MSdc)","ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Junicom-Calarub-Cladoni","SUBASS Bl-Vaccmem-Pleusch(typic)",5.2906976744186,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Junicom-Calarub-Cladoni","SUBASS BlPl-Vaccsco-Cladoni(typic)",8.81111111111111,"ASSOC Abielas-Pinucon-Vaccsco-Cladoni","ASSOC Pinucon-Junicom-Calarub-Cladoni",1
"ASSOC Pinucon-Rhodalb-Calarub-Pleusch","SUBASS Bl-Rhodalb-Pleusch-Dicranu(Empenig)",8.69747899159664,"ASSOC Abielas-Rhodalb-Pleusch-Dicranu (dv zonals)","ASSOC Pinucon-Rhodalb-Calarub-Pleusch",1
"ASSOC Pinucon-Rhodalb-Calarub-Pleusch","ASSOC Pinucon-Junicom-Calarub-Cladoni",4.7843137254902,"ASSOC Pinucon-Junicom-Calarub-Cladoni","ASSOC Pinucon-Rhodalb-Calarub-Pleusch",1
"ASSOC Pinucon-Shepcan-Calarub-Astecon","ASSOC Pinualb-Abielas-Junicom-Shepcan",4.53846153846154,"ASSOC Pinualb-Abielas-Junicom-Shepcan","ASSOC Pinucon-Shepcan-Calarub-Astecon",1
"ASSOC Pinucon-Vaccmem-Cladina","SUBASS Bl-Vaccmem-Pleusch(typic)",8.62254025044723,"ASSOC Abielas-Vaccmem-Pleusch (mc zonals)","ASSOC Pinucon-Vaccmem-Cladina",1
"ASSOC Pinucon-Vaccmem-Cladina","SUBASS Pl-Vaccmem-Cladoni(typic)",1.73809523809524,"ASSOC Pinucon-Vaccmem-Cladoni","ASSOC Pinucon-Vaccmem-Cladina",1
"ASSOC Pinucon-Vaccmem-Ptilcri","SUBASS Sx-Vaccmem-Vibuedu(Rubupar)",5.52238805970149,"ASSOC Piceene-Vaccmem-Vibuedu (SBSmk zonals)","ASSOC Pinucon-Vaccmem-Ptilcri",1
"ASSOC Pinucon-Vaccmem-Ptilcri","ASSOC Piceene-Spirdou",9.75,"ASSOC Piceene-Spirdou","ASSOC Pinucon-Vaccmem-Ptilcri",1
"ASSOC Pinucon-Vaccmem-Ptilcri","SUBASS Sx-Vaccmem(Paximyr)",3.75641025641026,"ASSOC Piceene-Vaccmem (SBSmc zonals)","ASSOC Pinucon-Vaccmem-Ptilcri",1
"ASSOC Pinucon-Vaccmem-Ptilcri","SUBASS Sx-Vaccmem(typic)",3.72988505747126,"ASSOC Piceene-Vaccmem (SBSmc zonals)","ASSOC Pinucon-Vaccmem-Ptilcri",1
"ASSOC Pinucon-Vaccmem-Ptilcri","ASSOC Piceene-Vaccmem-Paximyr",7.97560975609756,"ASSOC Piceene-Vaccmem-Paximyr","ASSOC Pinucon-Vaccmem-Ptilcri",1
"ASSOC Pinucon-Vaccmem-Vaccmyl","%ASSOC Piceene-Pseumen-Oryzasp-Geocliv",9.63333333333333,"%ASSOC Piceene-Pseumen-Oryzasp-Geocliv","ASSOC Pinucon-Vaccmem-Vaccmyl",1
"ASSOC Pinucon-Vaccvit-Cladina","SUBASS Sb-Vaccmem-Vaccvit(typic)",9.5,"ASSOC Picemar-Vaccmem-Vaccvit","ASSOC Pinucon-Vaccvit-Cladina",1
"ASSOC Pinucon-Vaccvit-Cladina","ASSOC Picemar-Ledugro-Hylospl",5.05077086656034,"ASSOC Picemar-Ledugro-Hylospl","ASSOC Pinucon-Vaccvit-Cladina",1
"ASSOC Pinucon-Vaccvit-Cladina","SUBASS Sb-Vaccmem-Vaccvit(Abielas)",7.37992831541219,"ASSOC Picemar-Vaccmem-Vaccvit","ASSOC Pinucon-Vaccvit-Cladina",1
"ASSOC Pl-Vaccvit-Cladina(Empenig)","SUBASS Sb-Vaccmem-Vaccvit(Abielas)",6.18279569892473,"ASSOC Picemar-Vaccmem-Vaccvit","ASSOC Pl-Vaccvit-Cladina(Empenig)",1
"ASSOC Pl(FdLw)-Calarub","ASSOC Sxw-Arnica-Calarub (MSdw)",6.09375,"ASSOC Sxw-Arnica-Calarub (MSdw)","ASSOC Pl(FdLw)-Calarub",1
"ASSOC Pl(Lw)-Calarub-Vaccsco","ASSOC Pl-Calarub-Vaccsco-Arctuva",4.17241379310345,"ASSOC Pl-Calarub-Vaccsco-Arctuva","ASSOC Pl(Lw)-Calarub-Vaccsco",1
"ASSOC Pl(Lw)-Calarub-Vaccsco","SUBASS Pl-Calarub-Vaccsco(Pleusch)",0.391304347826087,"ASSOC Pinucon-Calarub-Vaccsco","ASSOC Pl(Lw)-Calarub-Vaccsco",1
"ASSOC Pl(Lw)-Calarub-Vaccsco","SUBASS Pl-Calarub-Vaccsco-Pleusch(Abielas) (MSxk1)",0,"ASSOC Pinucon-Calarub-Vaccsco-Pleusch (MSxk)","ASSOC Pl(Lw)-Calarub-Vaccsco",1
"ASSOC Pseumen-Piceene-Ptilcri","ASSOC Pseumen-Piceene-Paximyr",6.59615384615385,"ASSOC Pseumen-Piceene-Paximyr","ASSOC Pseumen-Piceene-Ptilcri",1
"ASSOC SeBl-Ribelac-Gymndry","%ASSOC SeBl-Equiarv-Gymndry",9.18859649122807,"%ASSOC SeBl-Equiarv-Gymndry","ASSOC SeBl-Ribelac-Gymndry",1
"ASSOC SeBl-Ribelac-Gymndry","SUBASS Bl-Athyfil-Gymndry(Alnuvir)",6.50607287449393,"ASSOC Abielas-Piceeng-Athyfil-Gymndry","ASSOC SeBl-Ribelac-Gymndry",1
"ASSOC Sxw-Arnica-Calarub (MSdw)","ASSOC Piceene-Abielas-Menzfer-Corncan",9.73157894736842,"ASSOC Piceene-Abielas-Menzfer-Corncan","ASSOC Sxw-Arnica-Calarub (MSdw)",1
"ASSOC Sxw-Arnica-Calarub (MSdw)","ASSOC SxwFd-Corncan-Pleusch (MSdk)",6.6,"ASSOC SxwFd-Corncan-Pleusch (MSdk)","ASSOC Sxw-Arnica-Calarub (MSdw)",1
"ASSOC Sxw-Arnica-Calarub (MSdw)","ASSOC SxwBl-Rubupar-Arnica",5.4,"ASSOC SxwBl-Rubupar-Arnica","ASSOC Sxw-Arnica-Calarub (MSdw)",1
"ASSOC Sxw-Gymndry(Thujpli)","ASSOC SeBl-Ribelac-Gymndry",8.54342105263158,"ASSOC SeBl-Ribelac-Gymndry","ASSOC Sxw-Gymndry(Thujpli)",1
"ASSOC Sxw-Gymndry(Thujpli)","SUBASS SeBl-Oplohor-Athyfil(Thujpli)",3,"ASSOC Piceng-Oplohor-Athyfil","ASSOC Sxw-Gymndry(Thujpli)",1
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","SUBASS Sx-Loniinv-Gymndry(Vibuedu)",5.18015873015873,"ASSOC Piceene-Loniinv-Gymndry","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",1
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","SUBASS Sxw-Equiset-Aulapal(Hylospl)",7.78327526132404,"ASSOC Piceene-Equiset-Aulapal","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",1
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","SUBASS Sxw-Gymndry(Arnica)",7.87792207792208,"ASSOC Piceene-Gymndry-Pleusch (SBSwk zonals)","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",1
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","SUBASS Sxw-Equiset-Aulapal(Sphagnu)",4.02142857142857,"ASSOC Piceene-Equiset-Aulapal","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",1
"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","SUBASS Sxw-Gymndry(Aralnud)",7.73571428571429,"ASSOC Piceene-Gymndry-Pleusch (SBSwk zonals)","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","SUBASS Bl-Gymndry-Equiset(typic)",3.65909090909091,"ASSOC Abielas-Gymndry-Equiset (Northern)","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","Ws08.3 SUBASS Piceeng-Equiset-Calacan (very wet sites)",4.8,"ASSOC Piceeng-Abielas-Equiarv-Valesit","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","SUBASS Sxw-Equiset-Aulapal(Caredis)",3.47619047619048,"ASSOC Piceene-Equiset-Aulapal","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",3.88571428571429,"ASSOC SxwBl-Equiset-Gymndry (MS/SBS)","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","SUBASS Sxw-Equiset-Aulapal(Sphagnu)",4.78125,"ASSOC Piceene-Equiset-Aulapal","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","SUBASS Sxw-Equiset(Loniinv)",6.62820512820513,"ASSOC Sxw-Loniinv-Equiset-Hylospl (SBS)","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","Ws08.3 ASSOC SeBl-Equiarv-Senetri",8.29305555555556,"Ws08.3 ASSOC SeBl-Equiarv-Senetri","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","SUBASS Sxw-Equiset-Aulapal(Hylospl)",9.67012195121951,"ASSOC Piceene-Equiset-Aulapal","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)",2.33333333333333,"ASSOC Piceeng-Abielas-Equiarv-Valesit","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Equiset(MS/ICHmk)","Ws08.1 SUBASS Piceeng-Equiarv-Valesit (Trolalb Southern)",7.58882978723404,"ASSOC Piceeng-Abielas-Equiarv-Valesit","ASSOC SxwBl-Equiset(MS/ICHmk)",1
"ASSOC SxwBl-Rubupar-Arnica","ASSOC SxwFd-Corncan-Pleusch (MSdk)",8.94666666666667,"ASSOC SxwFd-Corncan-Pleusch (MSdk)","ASSOC SxwBl-Rubupar-Arnica",1
"ASSOC SxwBl-Rubupar-Arnica","SUBASS BlSe-Menzfer (Tiartri)",9.70138888888889,"ASSOC Abielas-Piceeng-Menzfer-Pleusch (dk zonals)","ASSOC SxwBl-Rubupar-Arnica",1
"ASSOC SxwBl-Rubupar-Arnica","ASSOC SxwBl-Equiset(MS/ICHmk)",7.56666666666667,"ASSOC SxwBl-Equiset(MS/ICHmk)","ASSOC SxwBl-Rubupar-Arnica",1
"ASSOC SxwBl-Rubupar-Arnica","ASSOC Piceene-Abielas-Menzfer-Corncan",1.89473684210526,"ASSOC Piceene-Abielas-Menzfer-Corncan","ASSOC SxwBl-Rubupar-Arnica",1
"ASSOC SxwBl-Rubupar-Arnica","ASSOC Piceene-(Pseumen)-Cornsto-Ribelac",2.38888888888889,"ASSOC Piceene-(Pseumen)-Cornsto-Ribelac","ASSOC SxwBl-Rubupar-Arnica",1
"ASSOC SxwBl-Rubupar-Arnica","SUBASS SxwBl - Ribelac (typic)",1.94949494949495,"ASSOC Piceene-Abielas-Ribelac","ASSOC SxwBl-Rubupar-Arnica",1
"Sk24 ASSOC BlLa-Vaccsco","SUBASS BlSe - Vaccsco (Pa)",7.66666666666667,"ASSOC BlSe - Vaccsco","Sk24 ASSOC BlLa-Vaccsco",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)","SUBASS Bl-Rhodalb-Gymndry(Clinuni)",3.17293233082707,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Athyfil-Gymndry",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)","ASSOC Bl-Rhodalb-Tiartri -Arnica",4.84210526315789,"ASSOC Bl-Rhodalb-Tiartri -Arnica","ASSOC Abielas-Piceeng-Athyfil-Gymndry",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)","SUBASS Bl-Rhodalb-Gymndry(Rhytrob)",4.89473684210526,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Athyfil-Gymndry",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)","SUBASS Bl-Rhodalb-Gymndry(Menzfer)",9.67008985879332,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Athyfil-Gymndry",1
"SUBASS Bl-Athyfil-Gymndry(Rhodalb)","SUBASS Bl-Rhodalb-Gymndry(Tsughet)",9.94407894736842,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Athyfil-Gymndry",1
"SUBASS Bl-Gymndry-Ptilcri(typic)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(typic)",6.48734598734599,"ASSOC Abielas-Rhodalb-Pleusch-Ptilcri (mv zonals)","ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)",1
"SUBASS Bl-Gymndry-Ptilcri(typic)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",7.36363636363636,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)",1
"SUBASS Bl-Gymndry-Ptilcri(typic)","SUBASS Bl-Rhodalb-Pleusch-Ptilcri(Ribetri)",7.79220779220779,"ASSOC Abielas-Rhodalb-Pleusch-Ptilcri (mv zonals)","ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Athyfil-Gymndry(Rhodalb)",9.4279176201373,"ASSOC Abielas-Piceeng-Athyfil-Gymndry","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Gymndry-Valesit(Abieama)",8.63768115942029,"ASSOC Abielas-Valesit-Tiarella-Mnium (wetter)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Rhodalb-Gymndry(Clinuni)",8.79089026915114,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)",7.18770279039585,"ASSOC Abielas-Piceeng-Menzfer-Gymndry (SE)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","%ASSOC AbielasPiceeng-Gymndry-Rubuped",6.78260869565217,"%ASSOC AbielasPiceeng-Gymndry-Rubuped","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS BlSe-Rhodalb-Valesit(Pleusch)(dc3)",8.60869565217391,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Gymndry-Ptilcri(typic)",4.6815358554489,"ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Rhodalb-Gymndry(Menzfer)",2.57317073170732,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",8.79347826086957,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Gymndry-Ptilcri(Brachyt)",5.90029985007496,"ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Gymndry-Valesit(Ptilcri)","SUBASS Bl-Rhodalb-Gymndry(Rhytrob)",4.42391304347826,"ASSOC Abielas-Rhodalb-Gymndry (wc zonals)","ASSOC Abielas-Piceeng-Gymndry-Valesit",1
"SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Vaccmyt wm4)",4.78846153846154,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abielas-Menzfer-Rhodalb-Xeroten",1
"SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)","ASSOC Abielas-Vaccmem-Paximyr",7.61538461538461,"ASSOC Abielas-Vaccmem-Paximyr","ASSOC Abielas-Menzfer-Rhodalb-Xeroten",1
"SUBASS Bl-Menzfer-Rhodalb-Xeroten(typic)","ASSOC Abielas-Rhodalb-Menzfer",2.42307692307692,"ASSOC Abielas-Rhodalb-Menzfer","ASSOC Abielas-Menzfer-Rhodalb-Xeroten",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","SUBASS Sxw-Oplohor-Athyfil",5.22343594836147,"ASSOC Piceene-Oplohor-Athyfil (ICH)","",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","ASSOC Sxw-Gymndry(Thujpli)",8.78679245283019,"ASSOC Sxw-Gymndry(Thujpli)","",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","SUBASS Sxw-Oplohor-Athyfil(Ptilcri)",4.64788732394366,"ASSOC Piceene-Oplohor-Athyfil-Corncan (SBSvk zonal)","",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","SUBASS SeBl-Oplohor-Athyfil(Thujpli)",9.1061320754717,"ASSOC Piceng-Oplohor-Athyfil","",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","SUBASS Sxw-Gymndry(Ptilcri)",6.40325564187939,"ASSOC Piceene-Gymndry-Pleusch (SBSwk zonals)","",1
"SUBASS Bl-Oplohor-Gymndry(Ptilcri)","SUBASS Sxw-Gymndry(Arnica)",3.95368782161235,"ASSOC Piceene-Gymndry-Pleusch (SBSwk zonals)","",1
"SUBASS Bl-Rhodalb-Gymndry(Clinuni)","SUBASS BlHw-Rhodalb-Tiartri(Gymndry)",3.35238095238095,"ASSOC BlHw - Rhodalb - Tiartri (wh zonals)","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",1
"SUBASS Bl-Rhodalb-Gymndry(Menzfer)","SUBASS Bl-Rhodalb-Menzfer-Tiartri (Rhytrob wm2)",9.70227995758218,"ASSOC Abielas-Rhodalb-Menzfer-Tiartri (wm zonals)","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",1
"SUBASS Bl-Rhodalb-Gymndry(Menzfer)","SUBASS Bl-Gymndry-Ptilcri(typic)",7.6602787456446,"ASSOC Abielas-Gymndry-Corncan-Ptilcri (wk zonals)","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",1
"SUBASS Bl-Rhodalb-Gymndry(Rhytrob)","ASSOC Bl-Rhodalb-Tiartri -Arnica",7.37878787878788,"ASSOC Bl-Rhodalb-Tiartri -Arnica","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",1
"SUBASS Bl-Rhodalb-Gymndry(Rhytrob)","SUBASS BlSe-Rhodalb-Valesit(Tiartri)(dc1)",8.502457002457,"ASSOC AbielasPiceene-Rhodalb-Valesit (dc zonals)","ASSOC Abielas-Rhodalb-Gymndry (wc zonals)",1
