"","SiteUnit","NoPlots","TotalSpp","NonrareSpp","ConstSpp","PotDiff.sum","Issues"
"35865","ASSOC Pinucon-Shepcan-Calarub-Astecon",21,138,38,12,33.5,"OK"
"36003","ASSOC Pinucon-Sphagnu(Coast)",34,193,33,3,8.73529411764706,"Few Constants"
"36196","ASSOC Pinucon-Vaccmem-Cladina",13,93,42,11,34.8076923076923,"OK"
"36289","ASSOC Pinucon-Vaccmem-Cladoni",23,167,47,12,34.7826086956522,"OK"
"36456","ASSOC Pinucon-Vaccmem-Ptilcri",12,113,58,21,64.0833333333333,"OK"
"36569","ASSOC Pinucon-Vaccmem-Vaccmyl",25,151,47,19,59.1,"OK"
"36720","ASSOC Pinucon-Vaccsco-Cladoni",68,219,36,5,15.5,"Few Constants"
"36939","ASSOC Pinucon-Vaccsco-Pleusch (MSxv zonal)",89,229,34,10,31.6629213483146,"OK"
"37168","ASSOC Pinucon-Vaccvit-Cladina",3,64,64,20,43.3333333333333,"Low Plots"
"37232","ASSOC Pinupon-Seladen-Lichens",9,76,34,6,22,"Few Plots"
"37308","ASSOC Pinupon(Pseumen)-Purstri-Pseuspi",10,124,43,17,45.1,"OK"
"37432","ASSOC Pl-Calarub-Vaccsco-Arctuva",29,135,35,12,59.3793103448276,"OK"
"37567","ASSOC Pl-Vaccvit-Cladina(Empenig)",6,51,25,13,41,"Few Plots"
"37618","ASSOC Pl(FdLw)-Calarub",32,153,41,11,32.5,"OK"
"37771","ASSOC Pl(Lw)-Calarub-Vaccsco",25,145,39,14,41.24,"OK"
"37916","ASSOC Pl(Pa)-Junicom-Shepcan",14,118,40,10,22.7857142857143,"OK"
"38034","ASSOC PlBl-Vaccsco(Calarub)",15,120,30,6,20.4666666666667,"OK"
"38154","ASSOC PlFd-Junicom-Acergla (ESSFs xeric)",15,168,45,10,20.4,"OK"
"38322","ASSOC PlYc-Empenig-Racolan",18,111,43,6,26.5,"OK"
"38433","ASSOC Poputre-Heramax",5,67,33,21,72.2,"Low Plots"
"38500","ASSOC Poputre-Lathnev",18,115,46,15,47.9444444444444,"OK"
"38615","ASSOC Pseumen-(Lariocc)-Calarub-Linnbor (zonal dm)",51,267,43,12,33.9607843137255,"OK"
"38882","ASSOC Pseumen-(Pinupon)-Spirbet-Calarub (xh zonals)",144,384,37,5,24.6597222222222,"Few Constants"
"39266","ASSOC Pseumen-Abielas-Paximyr-Vaccmem",14,127,46,9,36.5,"OK"
"39393","ASSOC Pseumen-Abielas-Vaccmem-Pleusch",23,137,37,13,38.2173913043478,"OK"
"39530","ASSOC Pseumen-Acergla-Paximyr",47,214,43,7,28.7659574468085,"OK"
"39744","ASSOC Pseumen-Amelaln-Pseuspi",42,206,28,6,26.2142857142857,"OK"
"39950","ASSOC Pseumen-Arbumen",70,229,15,2,17.2857142857143,"Few Constants"
"40179","ASSOC Pseumen-Calarub-Astecon (subboreal)",13,163,71,14,39.3846153846154,"OK"
"40342","ASSOC Pseumen-Calarub-Pleusch-Hylospl (Mossy cool aspect)",87,304,37,6,28.4655172413793,"OK"
"40646","ASSOC Pseumen-Calarub (zonal IDF dw)",15,93,34,13,36.8,"OK"
"40739","ASSOC Pseumen-Junicom-Arctuva (IDF)",30,177,44,7,18.3666666666667,"OK"
"40916","ASSOC Pseumen-Junicom-Pseuspi-Calarub",5,67,34,24,60.1,"Low Plots"
"40983","ASSOC Pseumen-Junisco-Pseuspi",57,275,41,7,26.5789473684211,"OK"
"41258","ASSOC Pseumen-Lariocc-Calarub-Arctuva",44,259,38,8,25.9318181818182,"OK"
"41517","ASSOC Pseumen-Mahoaqu-Calarub (moistIDF warm aspect)",83,284,40,9,30.2409638554217,"OK"
"41801","ASSOC Pseumen-Mahoner-Gaulsha",157,190,16,4,17.8471337579618,"Few Constants"
"41991","ASSOC Pseumen-Melisub",21,145,24,2,10.2857142857143,"Few Constants"
"42136","ASSOC Pseumen-Piceene-Calarub (SBSdw)",39,168,60,28,68.8717948717949,"OK"
"42304","ASSOC Pseumen-Piceene-Paximyr",26,168,71,34,83.0576923076923,"OK"
"42472","ASSOC Pseumen-Piceene-Ptilcri",17,139,57,21,52.2941176470588,"OK"
"42611","ASSOC Pseumen-Piceene-Rubupar (SBSmh zonal)",50,199,72,31,60.12,"OK"
"42810","ASSOC Pseumen-Pinucon-Arctuva",17,109,24,5,29.4705882352941,"Few Constants"
"42919","ASSOC Pseumen-Pinucon-Cladoni",23,217,73,13,39.6739130434783,"OK"
"43136","ASSOC Pseumen-Pinucon-Junicom-Arctuva (ICH and MS cool)))",70,319,35,7,20.6142857142857,"OK"
"43455","ASSOC Pseumen-Pinucon-Junicom-Calarub",86,326,38,8,29.4651162790698,"OK"
"43781","ASSOC Pseumen-Pinupon-Pseuspi-Calarub (Balsssag)",19,169,40,9,43.4736842105263,"OK"
"43950","ASSOC Pseumen-Polymun",19,93,29,10,47,"OK"
"44043","ASSOC Pseumen-Pseuspi-Hylospl (cool aspect)",22,143,33,7,22.6818181818182,"OK"
"44186","ASSOC Pseumen-Racocan-Cladina",48,192,26,3,11.375,"Few Constants"
"44378","ASSOC Pseumen-Spirbet-Hylospl (IDFdc)",29,155,46,9,21.2413793103448,"OK"
"44533","ASSOC Pseumen-Sympalb-Mahoaqu",104,340,30,6,26.5673076923077,"OK"
"44873","ASSOC Pseumen-Thujpli-Acergla-Chimumb (IDFmw zonals)",155,333,43,13,42.341935483871,"OK"
"45206","ASSOC Pseumen-Thujpli-Paximyr-Chimumb",78,224,43,13,50.9615384615385,"OK"
"45430","ASSOC Pseumen-Tsughet-Achltri",282,349,32,8,35.5496453900709,"OK"
"45779","ASSOC Pseumen-Tsughet-Gaulsha-Mahoner (xm zonals)",168,202,17,9,46.5386904761905,"OK"
"45981","ASSOC Pseumen-Tsughet-Gaulsha-Vaccpar",323,374,17,6,38.4582043343653,"OK"
"46355","ASSOC Pseumen(Pinucon)-Calarub-Arctuva",90,274,30,6,26.5777777777778,"OK"
"46629","ASSOC Pseumen(Pinupon)-Paximyr-Calarub",12,144,46,8,22.5,"OK"
"46773","ASSOC Pseumen(Pinupon)-Sympalb-Calarub",40,256,44,11,42.075,"OK"
"47029","ASSOC Py(Fd)-Pseuspi-Festcam (PPxh zonals)",80,313,32,8,32.6375,"OK"
"47342","ASSOC Py(Fd)-Pseuspi-Seladen (rocky)",14,123,30,7,13.1428571428571,"OK"
"47465","ASSOC Py(Fd)-Pseuspi (PPxw zonal typic)",149,388,27,6,24.1275167785235,"OK"
"47853","ASSOC PyFd-Calarub(Pseuspi)(IDFxx)",18,174,46,9,33,"OK"
"48027","ASSOC SeBl-Ribelac-Gymndry",19,202,64,18,51.1578947368421,"OK"
"48229","ASSOC Sxl-Oplohor-Drypexp-Mnium",22,71,33,12,60.2727272727273,"OK"
"48300","ASSOC SxlHw-Equiset-Gymndry (ICH-N)",12,98,47,18,74.0833333333333,"OK"
"48398","ASSOC Sxw-Arnica-Calarub (MSdw)",10,98,36,18,37.45,"OK"
"48496","ASSOC Sxw-Gymndry(Thujpli)",15,144,52,14,40.0666666666667,"OK"
"48640","ASSOC Sxw-Loniinv-Equiset-Hylospl (SBS)",25,234,54,17,54.02,"OK"
"48874","ASSOC SxwBl-Equiset-Gymndry (MS/SBS)",70,341,60,17,41.1785714285714,"OK"
"49215","ASSOC SxwBl-Equiset(MS/ICHmk)",66,347,50,7,22.5757575757576,"OK"
"49562","ASSOC SxwBl-Gymndry(Cw)",19,131,48,15,49.4210526315789,"OK"
"49693","ASSOC SxwBl-Ribelac (Rubupar)",11,155,55,18,60.4090909090909,"OK"
"49848","ASSOC SxwBl-Rubupar-Arnica",17,171,65,12,25.0588235294118,"OK"
"50019","ASSOC SxwFd-Corncan-Pleusch (MSdk)",25,156,41,17,47.12,"OK"
"50175","ASSOC Thujpli-Achltri",78,131,17,5,24.2820512820513,"Few Constants"
"50306","ASSOC Thujpli-Chamnoo-Gaulsha-Coptasp",175,280,39,12,57.1542857142857,"OK"
"50586","ASSOC Thujpli-Mahoner-Achltri",60,146,15,3,22.45,"Few Constants"
"50732","ASSOC Thujpli-Oemlcer",16,77,16,6,29.625,"OK"
"50809","ASSOC Thujpli-Oplohor-Gymndry",12,105,36,10,39.25,"OK"
"50914","ASSOC Thujpli-Piceene-Gymndry",14,118,58,14,34.7857142857143,"OK"
"51032","ASSOC Thujpli-Piceene-Oplohor",24,167,57,12,53.375,"OK"
"51199","ASSOC Thujpli-Piceene-Oplohor-Equiset",11,167,72,30,100.636363636364,"OK"
"51366","ASSOC Thujpli-Piceene-Paximyr-Pyroasa (ICHdk zonal)",11,114,66,30,95.5454545454545,"OK"
"51480","ASSOC Thujpli-Piceene-Paximyr-Shepcan",12,110,54,23,69.25,"OK"
"51590","ASSOC Thujpli-Piceene-Paximyr (ICHmk zonals)",116,275,41,14,44.4568965517241,"OK"
"51865","ASSOC Thujpli-Piceene-Rubupar-Loniuta",16,168,57,17,41.75,"OK"
"52033","ASSOC Thujpli-Pseumen-Acercir",20,106,32,6,27.65,"OK"
"52139","ASSOC Thujpli-Pseumen-Acergla-Aralnud",29,192,53,10,26.8965517241379,"OK"
"52331","ASSOC Thujpli-Pseumen-Chimumb-Linnbor (dw zonals)",118,256,41,11,46.9830508474576,"OK"
"52587","ASSOC Thujpli-Pseumen-Corycor-Aralnud",21,137,53,18,41.4285714285714,"OK"
"52724","ASSOC Thujpli-Pseumen-Oplohor",27,146,46,11,40.7037037037037,"OK"
"52870","ASSOC Thujpli-Tsughet-(FdBa) Achltri",8,85,48,13,41,"Few Plots"
"52955","ASSOC Thujpli-Tsughet-Gymndry-Hylospl (ICHwk3,4 zonals)",97,186,40,20,67.1443298969072,"OK"
"53141","ASSOC Thujpli-Tsughet-Gymndry(ICHwk1,2 zonals)",236,389,45,15,46.7139830508475,"OK"
"53530","ASSOC Thujpli-Tsughet-Oplohor-Athyfil",255,397,44,13,59.3960784313725,"OK"
"53927","ASSOC Thujpli-Tsughet-Oplohor-Gymndry",47,168,44,17,62.3617021276596,"OK"
"54095","ASSOC Tsughet-Abieama-Blecspi-Tiartri",539,375,28,9,27.721706864564,"OK"
"54470","ASSOC Tsughet-Abieama-Hylospl-Pleusch",29,117,25,4,18.3620689655172,"Few Constants"
"54587","ASSOC Tsughet-Abieama-Pseumen-Hylospl",294,248,23,6,23.1530612244898,"OK"
"54835","ASSOC Tsughet-Abieama-Pseumen-Vaccala",59,150,29,8,33.5254237288136,"OK"
"54985","ASSOC Tsughet-Abielas-Gymndry",23,123,49,20,70.2173913043478,"OK"
"55108","ASSOC Tsughet-Oplohor (northern)",59,176,40,13,47.135593220339,"OK"
"55284","ASSOC Tsughet-Piceene-Hylospl (ICHmm zonal)",67,173,41,15,47.8507462686567,"OK"
"55457","ASSOC Tsughet-Piceene-Ledugro-Sphagnu",3,53,53,19,43.6666666666667,"Low Plots"
"55510","ASSOC Tsughet-Picesit-Abieama-Rubuspe-Polymun",2,24,24,8,37,"Low Plots"
"55534","ASSOC Tsughet-Picesit-Rhytlor",337,219,34,12,36.5014836795252,"OK"
"55753","ASSOC Tsughet-Picexlu-Hylospl",213,223,30,7,29.037558685446,"OK"
"55976","ASSOC Tsughet-Pleusch-Racomit",16,175,41,5,19.3125,"Few Constants"
"56151","ASSOC Tsughet-Pseumen-Paximyr-Vaccpar",67,156,24,4,20.1940298507463,"Few Constants"
"56307","ASSOC Tsughet-Pseumen-Rhyttri",108,199,27,7,34.1944444444444,"OK"
"56506","ASSOC Tsughet-Thujpli-Clinuni-Rhytrob (dm zonals)",10,82,28,16,38.8,"OK"
"56588","ASSOC Tsughet-Thujpli-Gaulsha-Blecspi (vh zonals)",506,333,29,10,44.3735177865613,"OK"
"56921","ASSOC Tsughet-Thujpli-Paximyr (ICHmw zonals)",174,289,34,13,37.7442528735632,"OK"
"57210","ASSOC Tsughet-Thujpli-Pseumen-Polymun-Blecspi",81,160,21,8,35.4691358024691,"OK"
"57370","ASSOC Tsughet-Thujpli-Vaccala-Gaulsha",164,241,23,9,41.5823170731707,"OK"
"57611","ASSOC Tsughet-Vaccala-Dryoexp",69,106,24,9,37.9565217391304,"OK"
"57717","ASSOC Tsughet-Vaccala-Hylospl",12,67,20,7,28.625,"OK"
"57784","ASSOC Tsughet-Vaccmem-Rhytrob",11,89,31,10,33.5,"OK"
"57873","ASSOC Tsugmer-Ellipyr",59,171,21,3,15.9830508474576,"Few Constants"
"58044","ASSOC Tsugmer-Ellipyr-Faurcri",2,34,34,10,53.5,"Low Plots"
"58078","ASSOC Tsugmer-Picesit-Calanut-Rhytlor",14,97,46,11,48.7857142857143,"OK"
"58175","ASSOC Tsugmer-Picesit-Vaccini (wh zonals)",34,131,35,13,46.2352941176471,"OK"
"58306","ASSOC Tsugmer-Strelan",45,184,25,10,29.2666666666667,"OK"
"58490","ASSOC Tsugmer-Vaccmem",253,295,23,5,30.001976284585,"Few Constants"
"58785","ASSOC YcHm - Coptasp",46,117,24,12,52.4565217391304,"OK"
"58902","Fm01 ASSOC Poputri-Sympalb-Rosa",32,165,25,3,24.84375,"Few Constants"
"59067","Fm02 ASSOC Poputri-Piceene-Cornsto-Loniinv (SubBoreal)",39,221,38,6,27.3589743589744,"OK"
"59288","Fm05 ASSOC Poputri(Fd) - Acerdou - Sympalb",15,109,30,10,38.0666666666667,"OK"
"59397","oldASS CwHw-Lysiame(Ba)",7,66,31,7,30.7142857142857,"Few Plots"
"59463","Sk24 ASSOC BlLa-Vaccsco",12,136,25,3,28.3333333333333,"Few Constants"
"59599","SUBASS Poputre-Shepcan-Arctuva(Leyminn)",5,52,24,15,51.6,"Low Plots"
"59651","SUBASS Poputre-Sympalb-Rosanut",2,50,50,6,32,"Low Plots"
"59701","SUBASS Poputre-Vibuedu-Rosaaci (Alnuvir)",19,100,43,15,53.9473684210526,"OK"
"59801","SUBASS Poputre-Vibueedu-Rosaaci (Shepcan)",27,150,32,11,37.5555555555556,"OK"
"59951","Wb ASSOC Kalmmic-Carelim-Sphagnu",6,46,22,10,22.1666666666667,"Few Plots"
"59997","Wb01 ASSOC Picemar-Gaulhis-Sphagnu",25,184,31,6,27.86,"OK"
"60181","Wb02 ASSOC Picemar-Pinucon-Andrpol-Sphagnu",43,141,24,7,24.8837209302326,"OK"
"60322","Wb03 ASSOC Picemar-Vaccvit-Sphagnu",57,171,27,6,29.4912280701754,"OK"
"60493","Wb04 ASSOC Tsughet-Rubucha-Sphagnu",7,78,33,5,27.5714285714286,"Few Plots"
"60571","Wb05 ASSOC Picemar-Careaqu-Sphagnu",54,304,45,5,22.6666666666667,"Few Constants"
"60875","Wb06 ASSOC Larilar-Careaqu-Tomenit",39,225,31,8,35.7820512820513,"OK"
"61100","Wb07 ASSOC Pinucon-Careaqu-Sphagnu",11,142,45,6,28.3636363636364,"OK"
"61242","Wb08 ASSOC Picemar-Picea-Caredis-Sphagnu",29,232,49,8,20.448275862069,"OK"
"61474","Wb09 ASSOC Picemar-Equiarv-Sphagnu",62,332,41,7,33.9274193548387,"OK"
"61806","Wb10 ASSOC Pinucon-Carepau-Sphagnu",1,25,25,25,70,"Low Plots"
"61831","Wb11 ASSOC Picemar(Pinucon)-Menytri-Sphagnu",18,167,42,9,29.8611111111111,"OK"
"61998","Wb12 ASSOC Schepal-Sphagnu",14,78,33,3,13.2857142857143,"Few Constants"
"62076","Wb13 ASSOC Carelim-Menytri-Sphagnu",9,75,33,2,7.55555555555556,"Few Plots"
"62151","Wb14 ASSOC Chamcal - Adropol - Sphagnu",7,38,20,6,26.1428571428571,"Few Plots"
"62189","Wb50 ASSOC Ledugro-Kalmmic-Sphagnu",29,69,18,5,16.8965517241379,"Few Constants"
"62258","Wb51 ASSOC Pinucon-Empenig-Sphaaus",8,87,52,28,43.6875,"Few Plots"
"62345","Wb52 ASSOC Junicom-Tricces-Racolan",28,153,65,26,91.3571428571429,"OK"
"62498","Wb53 ASSOC Pinucon-Chamnoo-Tricces",36,187,53,12,44.0555555555556,"OK"
"62685","Wb54",7,60,43,12,43.1428571428571,"Few Plots"
"62745","Ws09 ASSOC Picemar-Lysiame-Sphagnu",22,175,49,11,30.4772727272727,"OK"
"62920","Ws10 ASSOC Thujpli-Piceene-Lysiame",70,377,46,11,46.2285714285714,"OK"
"63297","Ws15 ASSOC SwSb-Ledugro-Aulapal",11,146,45,13,48.9090909090909,"OK"
"63443","Ws16 ASSOC Thujpli-Tsughet-Equiarv-Athyfil",12,177,52,9,38.5833333333333,"OK"
"63620","Ws52 ASSOC Alnurub-Lysiame",2,53,53,5,34.5,"Low Plots"
"63673","Ws53 ASSOC Thujpli - Polymun - Lysiame",22,113,15,4,22.1363636363636,"Few Constants"
"63786","Ws54 ASSOC Thujpli-Tsughet-Lysiame",40,203,22,5,30.725,"Few Constants"
"63989","Ws56 ASSOC CwSs-Lysiame(Gaulsha)",79,243,41,12,50.1139240506329,"OK"
"64232","Ws57 ASSOC HwSs-Vaccala-Lysiame",5,32,20,11,40.2,"Low Plots"
"64264","Ws58 ASSOC ",10,74,36,18,68.1,"OK"
"64338","Ws58 ASSOC CwYc - Careobn",4,37,37,12,42,"Low Plots"
