"","Group","NoPlots","TotalSpp","NonrareSpp","ConstSpp","Poor"
"329","SUBASS Sxw-Oplohor-Athyfil(Dryoexp)",16,107,44,21,"OK"
"330","SUBASS Sxw-Oplohor-Athyfil(Mattstr)",5,88,46,33,"Poor"
"331","SUBASS Sxw-Oplohor-Athyfil(Ptilcri)",71,219,52,22,"OK"
"332","SUBASS Sxw-Orthsec-Pleusch(Rhytrob)",16,106,28,9,"OK"
"333","SUBASS Sxw-Orthsec-Pleusch(Shepcan)",22,128,43,16,"OK"
"334","SUBASS Sxw-Orthsec-Pleusch(typic)",10,81,36,11,"OK"
"335","SUBASS Sxw-Paximyr-Pleusch(Lariocc)",17,126,47,16,"OK"
"336","SUBASS Sxw-Paximyr-Pleusch(Pseumen)",23,143,43,13,"OK"
"337","SUBASS Sxw-Paximyr-Pleusch(typic)",79,196,33,11,"OK"
"338","SUBASS SxwBl-Rhodneo-Vaccsco (Corncan)",24,194,52,18,"OK"
"339","SUBASS SxwBl-Rhodneo-Vaccsco (x Rubuped)",7,89,53,27,"OK"
"340","SUBASS SxwBl - Ribelac (typic)",66,273,51,9,"OK"
"341","SUBASS SxwFd-Cornsto-Sympalb(Acergla)",17,170,40,13,"OK"
"342","SUBASS SxwFd-Rhyttri(Oryzasp)",36,185,61,21,"OK"
"343","SUBASS SxwFd-Rhyttri(Rhyttri)",4,54,54,23,"Poor"
"344","Ws08.1 SUBASS Piceeng-Equiarv-Valesit (Trolalb Southern)",47,256,37,11,"OK"
"345","Ws08.2 SUBASS SeBl-Equiarv-Ligucan (southern border)",29,227,58,17,"OK"
"346","Ws08.3 ASSOC SeBl-Equiarv-Senetri",9,114,50,7,"OK"
"347","Ws08.3 SUBASS Abielas-Piceeng-Equiset-Pleusch (N-S transition)",9,107,45,9,"OK"
"348","Ws08.3 SUBASS Piceeng-Equiset-Calacan (very wet sites)",24,212,48,6,"OK"
"349","Ws08.5 SUBASS SeHm-Equiarv-Valesit",8,141,62,15,"OK"
"350","Ws1? ASSOC Sxw(Cw)-Equiset-Athyfil (ICH)",19,181,64,10,"OK"
